experiment,scenario,num_workers,strategy,strategy_label,avg_l_qo,avg_l_kv,makespan_ns,num_steps,avg_step_latency_ns,throughput_tokens_per_s,lir
rq1_distribution,uniform,108,FLASH_ATTENTION,Flash Attention,116.30787037037037,125.38194444444444,114450,2272,50.374119718309856,1540471821.7562253,6.809712451335291
rq1_distribution,uniform,108,FLASH_DECODING,Flash Decoding,116.30787037037037,125.38194444444444,155588,2272,68.4806338028169,1133165796.8480859,1.014706937369969
rq1_distribution,uniform,108,LEAN_ATTENTION,Lean Attention,116.30787037037037,125.38194444444444,28839,2272,12.693221830985916,6113492146.05222,1.1129256867957968
rq1_distribution,uniform,108,FLASH_INFER,Flash Infer,116.30787037037037,125.38194444444444,31061,2272,13.671214788732394,5676153375.615724,1.1601387188902488
rq1_distribution,skewed,108,FLASH_ATTENTION,Flash Attention,202.36805555555554,1105.3564814814815,767547,2272,337.8287852112676,217092894.63707107,6.9590336649189
rq1_distribution,skewed,108,FLASH_DECODING,Flash Decoding,202.36805555555554,1105.3564814814815,258676,2272,113.85387323943662,644161035.4265568,1.0222328614274296
rq1_distribution,skewed,108,LEAN_ATTENTION,Lean Attention,202.36805555555554,1105.3564814814815,374613,2272,164.8824823943662,444803036.73390937,6.216130697620198
rq1_distribution,skewed,108,FLASH_INFER,Flash Infer,202.36805555555554,1105.3564814814815,154235,2272,67.88512323943662,1080357895.4193275,1.1373669703410516
