experiment,num_workers,strategy,strategy_label,avg_l_qo,avg_l_kv,makespan_ns,num_steps,avg_step_latency_ns,throughput_tokens_per_s,lir
rq1_worker_scaling,8,FLASH_ATTENTION,Flash Attention,202.36805555555554,1105.3564814814815,2727517,2272,1200.4916373239437,61091828.20858678,1.7504358542434906
rq1_worker_scaling,8,FLASH_DECODING,Flash Decoding,202.36805555555554,1105.3564814814815,1987634,2272,874.8389084507043,83832838.44007497,1.0082787881923783
rq1_worker_scaling,8,LEAN_ATTENTION,Lean Attention,202.36805555555554,1105.3564814814815,2283373,2272,1005.0057218309859,72974936.63978684,1.736115148976239
rq1_worker_scaling,8,FLASH_INFER,Flash Infer,202.36805555555554,1105.3564814814815,1947282,2272,857.0783450704225,85570040.7028874,1.0138860065515891
rq1_worker_scaling,32,FLASH_ATTENTION,Flash Attention,202.36805555555554,1105.3564814814815,1231955,2272,542.2337147887324,135255752.03639743,3.89966631214023
rq1_worker_scaling,32,FLASH_DECODING,Flash Decoding,202.36805555555554,1105.3564814814815,575831,2272,253.44674295774647,289371360.6943704,1.0443998874987526
rq1_worker_scaling,32,LEAN_ATTENTION,Lean Attention,202.36805555555554,1105.3564814814815,839513,2272,369.50396126760563,198482929.9844076,3.9905502289843757
rq1_worker_scaling,32,FLASH_INFER,Flash Infer,202.36805555555554,1105.3564814814815,499634,2272,219.9093309859155,333502123.55444187,1.0694136043444125
rq1_worker_scaling,64,FLASH_ATTENTION,Flash Attention,202.36805555555554,1105.3564814814815,908187,2272,399.73019366197184,183474328.52485225,6.252397347076715
rq1_worker_scaling,64,FLASH_DECODING,Flash Decoding,202.36805555555554,1105.3564814814815,354293,2272,155.9388204225352,470314118.5403041,1.1484431265936947
rq1_worker_scaling,64,LEAN_ATTENTION,Lean Attention,202.36805555555554,1105.3564814814815,554870,2272,244.22095070422534,300302773.6226503,5.524445021161064
rq1_worker_scaling,64,FLASH_INFER,Flash Infer,202.36805555555554,1105.3564814814815,258984,2272,113.9894366197183,643394958.7619312,1.0981818181818181
rq1_worker_scaling,108,FLASH_ATTENTION,Flash Attention,202.36805555555554,1105.3564814814815,767547,2272,337.8287852112676,217092894.63707107,6.9590336649189
rq1_worker_scaling,108,FLASH_DECODING,Flash Decoding,202.36805555555554,1105.3564814814815,258676,2272,113.85387323943662,644161035.4265568,1.0222328614274296
rq1_worker_scaling,108,LEAN_ATTENTION,Lean Attention,202.36805555555554,1105.3564814814815,374613,2272,164.8824823943662,444803036.73390937,6.216130697620198
rq1_worker_scaling,108,FLASH_INFER,Flash Infer,202.36805555555554,1105.3564814814815,154235,2272,67.88512323943662,1080357895.4193275,1.1373669703410516
