experiment,num_workers,strategy,strategy_label,avg_l_qo,avg_l_kv,makespan_ns,num_steps,avg_step_latency_ns,throughput_tokens_per_s,lir
rq1_worker_scaling,8,FLASH_ATTENTION,Flash Attention,202.36805555555554,1105.3564814814815,2916917,2272,1283.8543133802816,57125039.89657573,1.6795279825869536
rq1_worker_scaling,8,FLASH_DECODING,Flash Decoding,202.36805555555554,1105.3564814814815,2218134,2272,976.2913732394367,75121250.56466381,1.0085572565490066
rq1_worker_scaling,8,LEAN_ATTENTION,Lean Attention,202.36805555555554,1105.3564814814815,2472073,2272,1088.0602992957747,67404562.8911444,1.643463128272138
rq1_worker_scaling,8,FLASH_INFER,Flash Infer,202.36805555555554,1105.3564814814815,5547482,2272,2441.6734154929577,30036870.78209537,1.004711072109563
rq1_worker_scaling,32,FLASH_ATTENTION,Flash Attention,202.36805555555554,1105.3564814814815,1286355,2272,566.1773767605633,129535781.3356344,3.434536337120776
rq1_worker_scaling,32,FLASH_DECODING,Flash Decoding,202.36805555555554,1105.3564814814815,661300,2272,291.0651408450704,251971873.5823378,1.0462318163460853
rq1_worker_scaling,32,LEAN_ATTENTION,Lean Attention,202.36805555555554,1105.3564814814815,886813,2272,390.3226232394366,187896433.63369727,3.552732510089947
rq1_worker_scaling,32,FLASH_INFER,Flash Infer,202.36805555555554,1105.3564814814815,1400034,2272,616.2121478873239,119017823.85284927,1.0226544116079508
rq1_worker_scaling,64,FLASH_ATTENTION,Flash Attention,202.36805555555554,1105.3564814814815,944587,2272,415.75132042253523,176404079.24309775,5.646853209690173
rq1_worker_scaling,64,FLASH_DECODING,Flash Decoding,202.36805555555554,1105.3564814814815,412785,2272,181.68353873239437,403670191.5040517,1.1527315263078362
rq1_worker_scaling,64,LEAN_ATTENTION,Lean Attention,202.36805555555554,1105.3564814814815,578670,2272,254.6963028169014,287951682.3059775,4.855666027388042
rq1_worker_scaling,64,FLASH_INFER,Flash Infer,202.36805555555554,1105.3564814814815,710684,2272,312.80105633802816,234462855.50258622,1.0347591776798826
rq1_worker_scaling,108,FLASH_ATTENTION,Flash Attention,202.36805555555554,1105.3564814814815,794847,2272,349.8446302816901,209636571.5666034,6.520424014037914
rq1_worker_scaling,108,FLASH_DECODING,Flash Decoding,202.36805555555554,1105.3564814814815,304774,2272,134.14348591549296,546729707.9147171,1.0239360449864463
rq1_worker_scaling,108,LEAN_ATTENTION,Lean Attention,202.36805555555554,1105.3564814814815,388613,2272,171.04445422535213,428778759.3312627,5.397577599063376
rq1_worker_scaling,108,FLASH_INFER,Flash Infer,202.36805555555554,1105.3564814814815,427434,2272,188.13116197183098,389835623.74542034,1.063893198845962
